SO,WC,SC
JOURNAL OF VASCULAR AND INTERVENTIONAL RADIOLOGY,"Radiology, Nuclear Medicine & Medical Imaging; Peripheral Vascular Disease","Radiology, Nuclear Medicine & Medical Imaging; Cardiovascular System & Cardiology"
JOURNAL OF VASCULAR SURGERY,Surgery; Peripheral Vascular Disease,Surgery; Cardiovascular System & Cardiology
JOURNAL OF VETERINARY INTERNAL MEDICINE,Veterinary Sciences,Veterinary Sciences
JOURNAL OF VETERINARY SCIENCE,Veterinary Sciences,Veterinary Sciences
JOURNAL OF VIBRATION AND CONTROL,"Acoustics; Engineering, Mechanical; Mechanics",Acoustics; Engineering; Mechanics
JOURNAL OF VINYL & ADDITIVE TECHNOLOGY,"Chemistry, Applied; Materials Science, Textiles; Polymer Science",Chemistry; Materials Science; Polymer Science
JOURNAL OF VIROLOGY,Virology,Virology
JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION,"Computer Science, Information Systems; Computer Science, Software Engineering",Computer Science
JOURNAL OF VISUALIZATION,"Computer Science, Interdisciplinary Applications; Imaging Science & Photographic Technology",Computer Science; Imaging Science & Photographic Technology
JOURNAL OF WORLD BUSINESS,Business,Business & Economics
JSLS-JOURNAL OF THE SOCIETY OF LAPAROENDOSCOPIC SURGEONS,Surgery,Surgery
KAOHSIUNG JOURNAL OF MEDICAL SCIENCES,"Medicine, Research & Experimental",Research & Experimental Medicine
KIDNEY INTERNATIONAL,Urology & Nephrology,Urology & Nephrology
KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,Orthopedics; Sport Sciences; Surgery,Orthopedics; Sport Sciences; Surgery
KOREAN JOURNAL FOR FOOD SCIENCE OF ANIMAL RESOURCES,Food Science & Technology,Food Science & Technology
KOREAN JOURNAL OF CHEMICAL ENGINEERING,"Chemistry, Multidisciplinary; Engineering, Chemical",Chemistry; Engineering
KOREAN JOURNAL OF PHYSIOLOGY & PHARMACOLOGY,Pharmacology & Pharmacy; Physiology,Pharmacology & Pharmacy; Physiology
KSCE JOURNAL OF CIVIL ENGINEERING,"Engineering, Civil",Engineering
KYBERNETES,"Computer Science, Cybernetics",Computer Science
LANCET,"Medicine, General & Internal",General & Internal Medicine
LANGMUIR,"Chemistry, Multidisciplinary; Chemistry, Physical; Materials Science, Multidisciplinary",Chemistry; Materials Science
LANGUAGE AND SPEECH,"Audiology & Speech-Language Pathology; Linguistics; Psychology, Experimental",Audiology & Speech-Language Pathology; Linguistics; Psychology
LARYNGOSCOPE,"Medicine, Research & Experimental; Otorhinolaryngology",Research & Experimental Medicine; Otorhinolaryngology
LASERS IN SURGERY AND MEDICINE,Surgery,Surgery
LATIN AMERICAN JOURNAL OF CONTENT & LANGUAGE INTEGRATED-LACLIL,Education & Educational Research,Education & Educational Research
LEADERSHIP QUARTERLY,"Psychology, Applied; Management",Psychology; Business & Economics
LETTERS IN DRUG DESIGN & DISCOVERY,"Chemistry, Medicinal",Pharmacology & Pharmacy
LEUKEMIA,Oncology; Hematology,Oncology; Hematology
LEUKEMIA & LYMPHOMA,Oncology; Hematology,Oncology; Hematology
LEUKEMIA RESEARCH,Oncology; Hematology,Oncology; Hematology
LIFE SCIENCES,"Medicine, Research & Experimental; Pharmacology & Pharmacy",Research & Experimental Medicine; Pharmacology & Pharmacy
LIPIDS IN HEALTH AND DISEASE,Biochemistry & Molecular Biology; Nutrition & Dietetics,Biochemistry & Molecular Biology; Nutrition & Dietetics
LIQUID CRYSTALS,"Chemistry, Multidisciplinary; Crystallography; Materials Science, Multidisciplinary",Chemistry; Crystallography; Materials Science
LIVER TRANSPLANTATION,Gastroenterology & Hepatology; Surgery; Transplantation,Gastroenterology & Hepatology; Surgery; Transplantation
LUNG,Respiratory System,Respiratory System
LUNG CANCER,Oncology; Respiratory System,Oncology; Respiratory System
MABS,"Medicine, Research & Experimental",Research & Experimental Medicine
MACHINING SCIENCE AND TECHNOLOGY,"Engineering, Manufacturing; Engineering, Mechanical; Materials Science, Multidisciplinary",Engineering; Materials Science
MAGNETIC RESONANCE IN MEDICINE,"Radiology, Nuclear Medicine & Medical Imaging","Radiology, Nuclear Medicine & Medical Imaging"
MAMMALIAN GENOME,Biochemistry & Molecular Biology; Biotechnology & Applied Microbiology; Genetics & Heredity,Biochemistry & Molecular Biology; Biotechnology & Applied Microbiology; Genetics & Heredity
MANAGEMENT DECISION,Business; Management,Business & Economics
MARINE POLICY,Environmental Studies; International Relations,Environmental Sciences & Ecology; International Relations
MARINE POLLUTION BULLETIN,Environmental Sciences; Marine & Freshwater Biology,Environmental Sciences & Ecology; Marine & Freshwater Biology
MARKETING LETTERS,Business,Business & Economics
MATERIALS,"Materials Science, Multidisciplinary",Materials Science
MATERIALS & DESIGN,"Materials Science, Multidisciplinary",Materials Science
MATERIALS AND MANUFACTURING PROCESSES,"Engineering, Manufacturing; Materials Science, Multidisciplinary",Engineering; Materials Science
MATERIALS AND STRUCTURES,"Construction & Building Technology; Engineering, Civil; Materials Science, Multidisciplinary",Construction & Building Technology; Engineering; Materials Science
MATERIALS CHARACTERIZATION,"Materials Science, Multidisciplinary; Metallurgy & Metallurgical Engineering; Materials Science, Characterization & Testing",Materials Science; Metallurgy & Metallurgical Engineering
MATERIALS CHEMISTRY AND PHYSICS,"Materials Science, Multidisciplinary",Materials Science
MATERIALS LETTERS,"Materials Science, Multidisciplinary; Physics, Applied",Materials Science; Physics
MATERIALS RESEARCH BULLETIN,"Materials Science, Multidisciplinary",Materials Science
MATERIALS RESEARCH EXPRESS,"Materials Science, Multidisciplinary",Materials Science
MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND PROCESSING,"Nanoscience & Nanotechnology; Materials Science, Multidisciplinary; Metallurgy & Metallurgical Engineering",Science & Technology - Other Topics; Materials Science; Metallurgy & Metallurgical Engineering
MATERIALS SCIENCE AND ENGINEERING B-ADVANCED FUNCTIONAL SOLID-STATE MATERIALS,"Materials Science, Multidisciplinary; Physics, Condensed Matter",Materials Science; Physics
MATERIALS SCIENCE-POLAND,"Materials Science, Multidisciplinary",Materials Science
MATERIALS TRANSACTIONS,"Materials Science, Multidisciplinary; Metallurgy & Metallurgical Engineering",Materials Science; Metallurgy & Metallurgical Engineering
MATHEMATICAL MODELLING AND ANALYSIS,Mathematics,Mathematics
MATHEMATICAL PROBLEMS IN ENGINEERING,"Engineering, Multidisciplinary; Mathematics, Interdisciplinary Applications",Engineering; Mathematics
MEASUREMENT,"Engineering, Multidisciplinary; Instruments & Instrumentation",Engineering; Instruments & Instrumentation
MEASUREMENT SCIENCE AND TECHNOLOGY,"Engineering, Multidisciplinary; Instruments & Instrumentation",Engineering; Instruments & Instrumentation
MECCANICA,Mechanics,Mechanics
MECHANICS RESEARCH COMMUNICATIONS,Mechanics,Mechanics
MECHANISMS OF DEVELOPMENT,Developmental Biology,Developmental Biology
MECHATRONICS,"Automation & Control Systems; Computer Science, Artificial Intelligence; Engineering, Electrical & Electronic; Engineering, Mechanical",Automation & Control Systems; Computer Science; Engineering
MEDCHEMCOMM,"Biochemistry & Molecular Biology; Chemistry, Medicinal",Biochemistry & Molecular Biology; Pharmacology & Pharmacy
MEDICAL AND VETERINARY ENTOMOLOGY,Entomology; Veterinary Sciences,Entomology; Veterinary Sciences
MEDICAL JOURNAL OF AUSTRALIA,"Medicine, General & Internal",General & Internal Medicine
MEDICAL ONCOLOGY,Oncology,Oncology
MEDICAL SCIENCE MONITOR,"Medicine, Research & Experimental",Research & Experimental Medicine
MEDICINE,"Medicine, General & Internal",General & Internal Medicine
MEDICINE AND SCIENCE IN SPORTS AND EXERCISE,Sport Sciences,Sport Sciences
MEDICINE SCIENCE AND THE LAW,"Law; Medicine, Legal; Pathology",Government & Law; Legal Medicine; Pathology
MEMORIAS DO INSTITUTO OSWALDO CRUZ,Parasitology; Tropical Medicine,Parasitology; Tropical Medicine
MENOPAUSE-THE JOURNAL OF THE NORTH AMERICAN MENOPAUSE SOCIETY,Obstetrics & Gynecology,Obstetrics & Gynecology
METABOLISM-CLINICAL AND EXPERIMENTAL,Endocrinology & Metabolism,Endocrinology & Metabolism
METALLURGICAL AND MATERIALS TRANSACTIONS A-PHYSICAL METALLURGY AND MATERIALS SCIENCE,"Materials Science, Multidisciplinary; Metallurgy & Metallurgical Engineering",Materials Science; Metallurgy & Metallurgical Engineering
METALS AND MATERIALS INTERNATIONAL,"Materials Science, Multidisciplinary; Physics, Applied",Materials Science; Physics
METALS AND MATERIALS INTERNATIONAL,"Materials Science, Multidisciplinary; Metallurgy & Metallurgical Engineering",Materials Science; Metallurgy & Metallurgical Engineering
METHODS,Biochemical Research Methods; Biochemistry & Molecular Biology,Biochemistry & Molecular Biology
MICROBIAL CELL FACTORIES,Biotechnology & Applied Microbiology,Biotechnology & Applied Microbiology
MICROBIAL ECOLOGY,Ecology; Marine & Freshwater Biology; Microbiology,Environmental Sciences & Ecology; Marine & Freshwater Biology; Microbiology
MICROBIOLOGY-SGM,Microbiology,Microbiology
MICROCHEMICAL JOURNAL,"Chemistry, Analytical",Chemistry
MICROCHIMICA ACTA,"Chemistry, Analytical",Chemistry
MICROFLUIDICS AND NANOFLUIDICS,"Nanoscience & Nanotechnology; Instruments & Instrumentation; Physics, Fluids & Plasmas",Science & Technology - Other Topics; Instruments & Instrumentation; Physics
MICRON,Microscopy,Microscopy
MICROPOROUS AND MESOPOROUS MATERIALS,"Chemistry, Applied; Chemistry, Physical; Nanoscience & Nanotechnology; Materials Science, Multidisciplinary",Chemistry; Science & Technology - Other Topics; Materials Science
MICROSCOPY RESEARCH AND TECHNIQUE,Anatomy & Morphology; Biology; Microscopy,Anatomy & Morphology; Life Sciences & Biomedicine - Other Topics; Microscopy
MICROSURGERY,Surgery,Surgery
MICROWAVE AND OPTICAL TECHNOLOGY LETTERS,"Engineering, Electrical & Electronic; Optics",Engineering; Optics
MINIMALLY INVASIVE THERAPY & ALLIED TECHNOLOGIES,Surgery,Surgery
MODERN PHYSICS LETTERS B,"Physics, Applied; Physics, Condensed Matter; Physics, Mathematical",Physics
MOLECULAR & CELLULAR TOXICOLOGY,Biochemistry & Molecular Biology; Toxicology,Biochemistry & Molecular Biology; Toxicology
MOLECULAR AND BIOCHEMICAL PARASITOLOGY,Biochemistry & Molecular Biology; Parasitology,Biochemistry & Molecular Biology; Parasitology
MOLECULAR AND CELLULAR BIOCHEMISTRY,Cell Biology,Cell Biology
MOLECULAR AND CELLULAR BIOLOGY,Biochemistry & Molecular Biology; Cell Biology,Biochemistry & Molecular Biology; Cell Biology
MOLECULAR AND CELLULAR ENDOCRINOLOGY,Cell Biology; Endocrinology & Metabolism,Cell Biology; Endocrinology & Metabolism
MOLECULAR BIOLOGY AND EVOLUTION,Biochemistry & Molecular Biology; Evolutionary Biology; Genetics & Heredity,Biochemistry & Molecular Biology; Evolutionary Biology; Genetics & Heredity
MOLECULAR BIOLOGY OF THE CELL,Cell Biology,Cell Biology
MOLECULAR BIOLOGY REPORTS,Biochemistry & Molecular Biology,Biochemistry & Molecular Biology
MOLECULAR BIOSYSTEMS,Biochemistry & Molecular Biology,Biochemistry & Molecular Biology
MOLECULAR BREEDING,Agronomy; Plant Sciences; Genetics & Heredity; Horticulture,Agriculture; Plant Sciences; Genetics & Heredity
MOLECULAR CANCER,Biochemistry & Molecular Biology; Oncology,Biochemistry & Molecular Biology; Oncology
MOLECULAR CANCER RESEARCH,Oncology; Cell Biology,Oncology; Cell Biology
MOLECULAR CANCER THERAPEUTICS,Oncology,Oncology
MOLECULAR CELL,Biochemistry & Molecular Biology; Cell Biology,Biochemistry & Molecular Biology; Cell Biology
MOLECULAR CRYSTALS AND LIQUID CRYSTALS,Crystallography,Crystallography
MOLECULAR ECOLOGY,Biochemistry & Molecular Biology; Ecology; Evolutionary Biology,Biochemistry & Molecular Biology; Environmental Sciences & Ecology; Evolutionary Biology
MOLECULAR ECOLOGY RESOURCES,Biochemistry & Molecular Biology; Ecology; Evolutionary Biology,Biochemistry & Molecular Biology; Environmental Sciences & Ecology; Evolutionary Biology
MOLECULAR ENDOCRINOLOGY,Endocrinology & Metabolism,Endocrinology & Metabolism
MOLECULAR GENETICS AND GENOMICS,Biochemistry & Molecular Biology; Genetics & Heredity,Biochemistry & Molecular Biology; Genetics & Heredity
MOLECULAR HUMAN REPRODUCTION,Developmental Biology; Obstetrics & Gynecology; Reproductive Biology,Developmental Biology; Obstetrics & Gynecology; Reproductive Biology
MOLECULAR IMMUNOLOGY,Biochemistry & Molecular Biology; Immunology,Biochemistry & Molecular Biology; Immunology
MOLECULAR MEDICINE,"Biochemistry & Molecular Biology; Cell Biology; Medicine, Research & Experimental",Biochemistry & Molecular Biology; Cell Biology; Research & Experimental Medicine
MOLECULAR MEDICINE REPORTS,"Oncology; Medicine, Research & Experimental",Oncology; Research & Experimental Medicine
MOLECULAR MICROBIOLOGY,Biochemistry & Molecular Biology; Microbiology,Biochemistry & Molecular Biology; Microbiology
MOLECULAR NEURODEGENERATION,Neurosciences,Neurosciences & Neurology
MOLECULAR NUTRITION & FOOD RESEARCH,Food Science & Technology,Food Science & Technology
MOLECULAR PAIN,Neurosciences,Neurosciences & Neurology
MOLECULAR PHARMACEUTICS,"Medicine, Research & Experimental; Pharmacology & Pharmacy",Research & Experimental Medicine; Pharmacology & Pharmacy
MOLECULAR PHARMACOLOGY,Pharmacology & Pharmacy,Pharmacology & Pharmacy
MOLECULAR THERAPY,"Biotechnology & Applied Microbiology; Genetics & Heredity; Medicine, Research & Experimental",Biotechnology & Applied Microbiology; Genetics & Heredity; Research & Experimental Medicine
MOLECULAR VISION,Biochemistry & Molecular Biology; Ophthalmology,Biochemistry & Molecular Biology; Ophthalmology
MOLECULES,"Chemistry, Organic",Chemistry
MOLECULES AND CELLS,Biochemistry & Molecular Biology; Cell Biology,Biochemistry & Molecular Biology; Cell Biology
MOTIVATION AND EMOTION,"Psychology, Experimental; Psychology, Social",Psychology
MOVEMENT DISORDERS,Clinical Neurology,Neurosciences & Neurology
MUTAGENESIS,Genetics & Heredity; Toxicology,Genetics & Heredity; Toxicology
NANO,"Nanoscience & Nanotechnology; Materials Science, Multidisciplinary; Physics, Applied",Science & Technology - Other Topics; Materials Science; Physics
NANOMEDICINE,Biotechnology & Applied Microbiology; Nanoscience & Nanotechnology,Biotechnology & Applied Microbiology; Science & Technology - Other Topics
NANOMEDICINE-NANOTECHNOLOGY BIOLOGY AND MEDICINE,"Nanoscience & Nanotechnology; Medicine, Research & Experimental",Science & Technology - Other Topics; Research & Experimental Medicine
NANOSCALE RESEARCH LETTERS,"Nanoscience & Nanotechnology; Materials Science, Multidisciplinary; Physics, Applied",Science & Technology - Other Topics; Materials Science; Physics
NANOTECHNOLOGY,"Nanoscience & Nanotechnology; Materials Science, Multidisciplinary; Physics, Applied",Science & Technology - Other Topics; Materials Science; Physics
NATURAL PRODUCT RESEARCH,"Chemistry, Applied; Chemistry, Medicinal",Chemistry; Pharmacology & Pharmacy
NATURE,Multidisciplinary Sciences,Science & Technology - Other Topics
NATURE BIOTECHNOLOGY,Biotechnology & Applied Microbiology,Biotechnology & Applied Microbiology
NATURE CELL BIOLOGY,Cell Biology,Cell Biology
NATURE COMMUNICATIONS,Multidisciplinary Sciences,Science & Technology - Other Topics
NATURE GENETICS,Genetics & Heredity,Genetics & Heredity
NATURE GEOSCIENCE,"Geosciences, Multidisciplinary",Geology
NATURE IMMUNOLOGY,Immunology,Immunology
NATURE MATERIALS,"Chemistry, Physical; Materials Science, Multidisciplinary; Physics, Applied; Physics, Condensed Matter",Chemistry; Materials Science; Physics
NATURE MEDICINE,"Biochemistry & Molecular Biology; Cell Biology; Medicine, Research & Experimental",Biochemistry & Molecular Biology; Cell Biology; Research & Experimental Medicine
NATURE METHODS,Biochemical Research Methods,Biochemistry & Molecular Biology
NATURE NANOTECHNOLOGY,"Nanoscience & Nanotechnology; Materials Science, Multidisciplinary",Science & Technology - Other Topics; Materials Science
NATURE PHOTONICS,"Optics; Physics, Applied",Optics; Physics
NATURE REVIEWS CANCER,Oncology,Oncology
NATURE REVIEWS GENETICS,Genetics & Heredity,Genetics & Heredity
NAUNYN-SCHMIEDEBERGS ARCHIVES OF PHARMACOLOGY,Pharmacology & Pharmacy,Pharmacology & Pharmacy
NEOHELICON,Literature,Literature
NEURAL COMPUTING & APPLICATIONS,"Computer Science, Artificial Intelligence",Computer Science
NEURAL NETWORKS,"Computer Science, Artificial Intelligence; Neurosciences",Computer Science; Neurosciences & Neurology
NEURAL REGENERATION RESEARCH,Cell Biology; Neurosciences,Cell Biology; Neurosciences & Neurology
NEURO-ONCOLOGY,Oncology; Clinical Neurology,Oncology; Neurosciences & Neurology
NEUROBIOLOGY OF DISEASE,Neurosciences,Neurosciences & Neurology
NEUROBIOLOGY OF LEARNING AND MEMORY,"Behavioral Sciences; Neurosciences; Psychology; Psychology, Multidisciplinary",Behavioral Sciences; Neurosciences & Neurology; Psychology
NEUROCHEMICAL RESEARCH,Biochemistry & Molecular Biology; Neurosciences,Biochemistry & Molecular Biology; Neurosciences & Neurology
NEUROCHEMISTRY INTERNATIONAL,Biochemistry & Molecular Biology; Neurosciences,Biochemistry & Molecular Biology; Neurosciences & Neurology
NEUROIMAGE,"Neurosciences; Neuroimaging; Radiology, Nuclear Medicine & Medical Imaging","Neurosciences & Neurology; Radiology, Nuclear Medicine & Medical Imaging"
NEUROLOGICAL SCIENCES,Clinical Neurology; Neurosciences,Neurosciences & Neurology
NEUROLOGY,Clinical Neurology,Neurosciences & Neurology
NEUROLOGY INDIA,Neurosciences,Neurosciences & Neurology
NEURON,Neurosciences,Neurosciences & Neurology
NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY,Clinical Neurology; Neurosciences; Pathology,Neurosciences & Neurology; Pathology
NEUROPEPTIDES,Endocrinology & Metabolism; Neurosciences,Endocrinology & Metabolism; Neurosciences & Neurology
NEUROPSYCHIATRIC DISEASE AND TREATMENT,Clinical Neurology; Psychiatry,Neurosciences & Neurology; Psychiatry
NEUROPSYCHOBIOLOGY,Neurosciences; Psychiatry; Psychology,Neurosciences & Neurology; Psychiatry; Psychology
NEUROREHABILITATION AND NEURAL REPAIR,Clinical Neurology; Rehabilitation,Neurosciences & Neurology; Rehabilitation
NEUROREPORT,Neurosciences,Neurosciences & Neurology
NEUROSCIENCE,Neurosciences,Neurosciences & Neurology
NEUROSCIENCE BULLETIN,Neurosciences,Neurosciences & Neurology
NEUROSCIENCE LETTERS,Neurosciences,Neurosciences & Neurology
NEUROSCIENCE RESEARCH,Neurosciences,Neurosciences & Neurology
NEUROSURGERY,Clinical Neurology; Surgery,Neurosciences & Neurology; Surgery
NEUROSURGICAL FOCUS,Clinical Neurology; Surgery,Neurosciences & Neurology; Surgery
NEW ENGLAND JOURNAL OF MEDICINE,"Medicine, General & Internal",General & Internal Medicine
NEW JOURNAL OF CHEMISTRY,"Chemistry, Multidisciplinary",Chemistry
NIHON REOROJI GAKKAISHI,Mechanics; Polymer Science,Mechanics; Polymer Science
NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS,"Mathematics, Applied; Mathematics",Mathematics
NUCLEAR FUSION,"Physics, Fluids & Plasmas; Physics, Nuclear",Physics
NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,"Instruments & Instrumentation; Nuclear Science & Technology; Physics, Particles & Fields; Spectroscopy",Instruments & Instrumentation; Nuclear Science & Technology; Physics; Spectroscopy
NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION B-BEAM INTERACTIONS WITH MATERIALS AND ATOMS,"Instruments & Instrumentation; Nuclear Science & Technology; Physics, Atomic, Molecular & Chemical; Physics, Nuclear",Instruments & Instrumentation; Nuclear Science & Technology; Physics
NUCLEAR MEDICINE COMMUNICATIONS,"Radiology, Nuclear Medicine & Medical Imaging","Radiology, Nuclear Medicine & Medical Imaging"
NUCLEAR PHYSICS A,"Physics, Nuclear",Physics
NUCLEIC ACIDS RESEARCH,Biochemistry & Molecular Biology,Biochemistry & Molecular Biology
NUCLEOSIDES NUCLEOTIDES & NUCLEIC ACIDS,Biochemistry & Molecular Biology,Biochemistry & Molecular Biology
NUOVO CIMENTO DELLA SOCIETA ITALIANA DI FISICA B-BASIC TOPICS IN PHYSICS,"Physics, Multidisciplinary",Physics
NURSING & HEALTH SCIENCES,Nursing,Nursing
NUTRITION,Nutrition & Dietetics,Nutrition & Dietetics
NUTRITION & METABOLISM,Nutrition & Dietetics,Nutrition & Dietetics
NUTRITION JOURNAL,Nutrition & Dietetics,Nutrition & Dietetics
NUTRITION RESEARCH,Nutrition & Dietetics,Nutrition & Dietetics
NUTRITION REVIEWS,Nutrition & Dietetics,Nutrition & Dietetics
OBESITY,Endocrinology & Metabolism; Nutrition & Dietetics,Endocrinology & Metabolism; Nutrition & Dietetics
OBESITY REVIEWS,Endocrinology & Metabolism,Endocrinology & Metabolism
OBESITY SURGERY,Surgery,Surgery
OECOLOGIA,Ecology,Environmental Sciences & Ecology
OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,Management; Operations Research & Management Science,Business & Economics; Operations Research & Management Science
ONCOGENE,Biochemistry & Molecular Biology; Oncology; Cell Biology; Genetics & Heredity,Biochemistry & Molecular Biology; Oncology; Cell Biology; Genetics & Heredity
ONCOIMMUNOLOGY,Oncology; Immunology,Oncology; Immunology
ONCOLOGIST,Oncology,Oncology
ONCOLOGY,Oncology,Oncology
ONCOLOGY LETTERS,Oncology,Oncology
ONCOTARGETS AND THERAPY,Biotechnology & Applied Microbiology; Oncology,Biotechnology & Applied Microbiology; Oncology
ONKOLOGIE,,
OPHTHALMIC PLASTIC AND RECONSTRUCTIVE SURGERY,Ophthalmology; Surgery,Ophthalmology; Surgery
OPHTHALMOLOGE,Ophthalmology,Ophthalmology
OPTICS COMMUNICATIONS,Optics,Optics
OPTIK,Optics,Optics
ORAL ONCOLOGY,"Oncology; Dentistry, Oral Surgery & Medicine","Oncology; Dentistry, Oral Surgery & Medicine"
ORAL SURGERY ORAL MEDICINE ORAL PATHOLOGY ORAL RADIOLOGY AND ENDODONTOLOGY,"Dentistry, Oral Surgery & Medicine","Dentistry, Oral Surgery & Medicine"
ORGANIC ELECTRONICS,"Materials Science, Multidisciplinary; Physics, Applied",Materials Science; Physics
ORGANIC LETTERS,"Chemistry, Organic",Chemistry
ORGANIZATION SCIENCE,Management,Business & Economics
ORTHOPADE,Orthopedics,Orthopedics
ORTHOPAEDICS & TRAUMATOLOGY-SURGERY & RESEARCH,Orthopedics; Surgery,Orthopedics; Surgery
ORTHOPEDICS,Orthopedics,Orthopedics
OTOLARYNGOLOGY-HEAD AND NECK SURGERY,Otorhinolaryngology; Surgery,Otorhinolaryngology; Surgery
PACIFIC AFFAIRS,Area Studies,Area Studies
PAIN MEDICINE,"Medicine, General & Internal",General & Internal Medicine
PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY,"Geography, Physical; Geosciences, Multidisciplinary; Paleontology",Physical Geography; Geology; Paleontology
PAN AFRICAN MEDICAL JOURNAL,"Public, Environmental & Occupational Health","Public, Environmental & Occupational Health"
PANCREAS,Gastroenterology & Hepatology,Gastroenterology & Hepatology
PARASITES & VECTORS,Parasitology,Parasitology
PARTICLE AND FIBRE TOXICOLOGY,Toxicology,Toxicology
PATTERN RECOGNITION,"Computer Science, Artificial Intelligence; Engineering, Electrical & Electronic",Computer Science; Engineering
PATTERN RECOGNITION LETTERS,"Computer Science, Artificial Intelligence",Computer Science
PEDIATRIC EMERGENCY CARE,Emergency Medicine; Pediatrics,Emergency Medicine; Pediatrics
PEDIATRIC RESEARCH,Pediatrics,Pediatrics
PEDIATRICS,Pediatrics,Pediatrics
PERIODONTOLOGY 2000,"Dentistry, Oral Surgery & Medicine","Dentistry, Oral Surgery & Medicine"
PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN,"Psychology, Social",Psychology
PERSPECTIVES IN PSYCHIATRIC CARE,Nursing; Psychiatry,Nursing; Psychiatry
PETROLEUM SCIENCE AND TECHNOLOGY,"Energy & Fuels; Engineering, Chemical; Engineering, Petroleum",Energy & Fuels; Engineering
PHARMACEUTICAL BIOLOGY,Plant Sciences; Medical Laboratory Technology; Pharmacology & Pharmacy,Plant Sciences; Medical Laboratory Technology; Pharmacology & Pharmacy
PHARMACEUTICAL RESEARCH,"Chemistry, Multidisciplinary; Pharmacology & Pharmacy",Chemistry; Pharmacology & Pharmacy
PHARMACOEPIDEMIOLOGY AND DRUG SAFETY,Pharmacology & Pharmacy,Pharmacology & Pharmacy
PHARMACOLOGICAL REPORTS,Pharmacology & Pharmacy,Pharmacology & Pharmacy
PHARMACOLOGICAL RESEARCH,Pharmacology & Pharmacy,Pharmacology & Pharmacy
PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR,Behavioral Sciences; Neurosciences; Pharmacology & Pharmacy,Behavioral Sciences; Neurosciences & Neurology; Pharmacology & Pharmacy
PHARMAZIE,"Chemistry, Medicinal; Chemistry, Multidisciplinary; Pharmacology & Pharmacy",Pharmacology & Pharmacy; Chemistry
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,Multidisciplinary Sciences,Science & Technology - Other Topics
PHOSPHORUS SULFUR AND SILICON AND THE RELATED ELEMENTS,"Chemistry, Inorganic & Nuclear; Chemistry, Organic",Chemistry
PHOTOGRAMMETRIC RECORD,"Geography, Physical; Geosciences, Multidisciplinary; Remote Sensing; Imaging Science & Photographic Technology",Physical Geography; Geology; Remote Sensing; Imaging Science & Photographic Technology
PHOTOMEDICINE AND LASER SURGERY,Surgery,Surgery
PHYSICA B-CONDENSED MATTER,"Physics, Condensed Matter",Physics
PHYSICA SCRIPTA,"Physics, Multidisciplinary",Physics
PHYSICA STATUS SOLIDI A-APPLICATIONS AND MATERIALS SCIENCE,"Materials Science, Multidisciplinary; Physics, Applied; Physics, Condensed Matter",Materials Science; Physics
PHYSICA STATUS SOLIDI B-BASIC RESEARCH,"Physics, Condensed Matter",Physics
PHYSICA STATUS SOLIDI B-BASIC SOLID STATE PHYSICS,"Physics, Condensed Matter",Physics
PHYSICAL CHEMISTRY CHEMICAL PHYSICS,"Chemistry, Physical; Physics, Atomic, Molecular & Chemical",Chemistry; Physics
PHYSICAL REVIEW A,"Optics; Physics, Atomic, Molecular & Chemical",Optics; Physics
PHYSICAL REVIEW B,"Physics, Condensed Matter",Physics
PHYSICAL REVIEW D,"Astronomy & Astrophysics; Physics, Particles & Fields",Astronomy & Astrophysics; Physics
PHYSICAL REVIEW E,"Physics, Fluids & Plasmas; Physics, Mathematical",Physics
PHYSICAL REVIEW LETTERS,"Physics, Multidisciplinary",Physics
PHYSICS LETTERS A,"Physics, Multidisciplinary",Physics
PHYSICS OF FLUIDS,"Mechanics; Physics, Fluids & Plasmas",Mechanics; Physics
PHYSICS OF PLASMAS,"Physics, Fluids & Plasmas",Physics
PHYSIOLOGY AND MOLECULAR BIOLOGY OF PLANTS,Plant Sciences,Plant Sciences
PHYTOCHEMISTRY,Biochemistry & Molecular Biology; Plant Sciences,Biochemistry & Molecular Biology; Plant Sciences
PHYTOTHERAPY RESEARCH,"Chemistry, Medicinal; Pharmacology & Pharmacy",Pharmacology & Pharmacy
PLANT AND CELL PHYSIOLOGY,Plant Sciences; Cell Biology,Plant Sciences; Cell Biology
PLANT CELL,Biochemistry & Molecular Biology; Plant Sciences; Cell Biology,Biochemistry & Molecular Biology; Plant Sciences; Cell Biology
